No,Teks,Sentimen,Confidence
21,"Subhan-Allah, One of the legend masjid in Indonesia, especially Aceh. This is amazing historic building. It still stand although Tsunami hit in 2004. This masjid saved many of lives. Beautiful exterior and interior of this masjid. Using marmer floor so you can walk barefootly on the mid day, but you can't feel hot. You should go there especially if you are moeslem.",Positif,99.96%
22,"I went all the way to Aceh especially to perform prayer ti this masjid, was on my to dk list for some time , Beautiful, Really love the Ramdhan Vibes there",Positif,99.99%
23,"I think the place is too big so if I may suggest,.kindly provide more cleaner to make the floor clean because im doubting about the hadats from the floor before entering the main floor for praying",Netral,52.31%
24,"The most beautiful and historical mosque in Indonesia. This mosque survived from Tsunami Tragedy in 2004. Right know this mosque already have many renovation and also new umbrella technology inspired from Masjidil Haram. It looks really beautiful from outside and bird eye. Almost every day this mosque full of people who do pray. Every one who come to this place need to use appropriate clothes.",Positif,99.96%
25,"Amazing architecture, vibes and culture combined in one place. The mosque seems welcoming traveller to stay and pray all the time.",Positif,99.98%
26,"The mosque indeed reflected by its name, Masjid Mahligai Minang, a grand masjid with majestic ambience and grandeur atmosphere. There are no pillars to support its roof, make the hall looks spacious and comfortable for all worshipers. There are two small pools on the right and left sides of the pulpit which add to the calmness and tranquility during ibadah. Stunning color kinetics lighting make the masjid feels more comfortable. The hall for shalat is on the top floor. It has ramp for diffable to access with wheelchair.",Positif,99.97%
27,"Really a beautiful mosque. So grandiose. I personally love the overall architecture, and black color of the domes. Magnificent structure. Enter only with proper Moslem apparel.",Positif,99.78%
28,"After so many years, which we failed to enter the Mosque, but this day.... we finally get in and have the great opportunity to explore this beautiful and the biggest mosque in Banda Aceh. Even though some part of it is still under renovation, the magnificence of the building and the structure is still astonishing. A feeling also came to me when I just entered the Mosque and stay in its inside, people of Muslim religion, I think this is the most comfortable place they would stay. I could see people playing, praying, resting, laying on the marble ground. I first experienced the Muslim culture when I visited Turkey like decades ago and now the Muslim culture is more layman, and close to people's every day life. It's not far, but just within the every day life of working. I hope the renovation could finish as soon as possible, and my next best wishes would be seeing all the amazing umbrellas open, blossom, all open for one time.",Positif,99.96%
29,"Beautiful place and landmark of the city. I can feel happy air every time I came here. It’s getting even more popular among people and tourists. Especially during Ramadhan, it’s always full with people. I just hope people who come here, either to worship or just to enjoy its beauty, to be more aware of the guidelines posted by the management and to obey them.",Positif,99.94%
30,"One of the place thats must visit.... must im sure.... lovely.... outdoor enviroment like madinah .... cancome also at night, very beauty with the light",Positif,99.81%
31,"mosque survived tsunami because the old excellent construction rebuilt by Dutch. Find The Way The Truth and The Life - Jesus Christ - l",Negatif,99.73%
32,"i think this is one of beautiful mosque that i already visited, this mosque are really spacious it can accommodate approx 13k pilgrims, the mosque are always clean because there are always officers who clean it all the time, there's a basement in this mosque which is used as a parking lot, ablution area and toilet so it looks neat, also this mosque witnessed the 2004 tsunami tragedy because this mosque was not damaged at all so that many people survived while in this mosque at that time.",Positif,99.94%
33,"Beautiful mosque, must visit when in Banda Aceh. Impressive architecture and kind, welcoming people all over the place.",Positif,98.94%
34,"The Mosque opens for public. It requires Muslim ah dress code. For instances, woman require wear long skirt and headcovers. If u dont wear skirt, the officer can lend u one. Non Muslim prohibit to enter the holy line (inside the mosque) but still can enjoy the site from couryard. The mosque is beautiful, original and magnificient",Netral,99.96%
35,"Beautiful grand mosque...feel content walking in the area surrounding the mosque and moreover when hearing the adzan and praying inside it. The tower is accesable for guests with a fee.. to get a top view of the mosque.",Positif,99.88%
36,"MasyaAllah,Subhanallah..it's a great and beautiful mosque! Nice view! it feels like u are in the Masjid Nabawi,Madinah.. For muslimah,u need to wear a proper hijab or ur telekung and no pant/celana is allowed.. But they still provide a long skirt for u to borrow.. Easy parking at the basement and comfortable prayer area for muslim and muslimah..",Positif,99.95%
37,"Impressive mosque to visit. If you don't have appropriate clothing, this is provided free of charge (although a donation is appreciated). Worth paying the 15k fee to visit the tower as the view is very nice!",Positif,99.65%
38,"The mosque had some great history, such as about the kingdom, tsunami, and etc. The mosque was one of the best mosque in Aceh. It had great design in and out door. And if you wanna get parking, there's any parking area bottom of this mosque. You would not worry about the toilet, there's any bottom of mosque area also. But If you wanna come to this mosque. Make sure that you wear the polite clothes. For example, woman wear the long skirt, long shirt and t shirt and veil. You can't enter to this mosque if you are not wearing that kind of the clothes. For man, make sure you wear long trousers. And, if you get adzan , you can't stay around the mosque, you must pray and for the girls who can't pray because the reason. You must stay bottom of this mosque. You can't go out before the praying finished. So, that's rule for keep the mosque pure as the place for praying, not just for destination.",Netral,89.47%
39,"A peaceful place to pray. The gigantic umbrella is adopt from Mekah, the holy Place for Muslim. This is one reason why people commonly say that Aceh is Serambi Mekah. The umbrella is not open every time, when the weather is safe for them then Management will let them open, just an awesome view and I absolutely want to go there in a second time.",Negatif,88.19%
40,"This mosque teach us the importance of having strong n deep foundation in building structure. This principal applies to our value of life as our life foundation.",Positif,99.98%
41,"Very beautiful mosque. When you arrive you have to report to an entrance where you receive special robes to wear. Non Muslims are not allowed inside the mosque. Nonetheless, the outside is beautiful and you can look inside from a distance.",Netral,56.04%
42,"❤️❤️❤️",Netral,74.44%
43,"The mosque is beautiful and large,And make me remember the mosque nabawi, very interesting,But I hope the hygiene for the toilet area is improved and there is provided a special toilet that is more expensive than it is now.But I hope the hygiene for the toilet area is improved and there is provided a special ladies' toilet that is more than now",Netral,96.39%
44,"The Grand Mosque is the pride of Acehnese people, even since before Indonesia declaration of independent. The mosque itself also serve as a historical mark of Banda Aceh and can be said as the central of Banda Aceh. Over time the mosque has change several times, the field of green grass that once circle the mosque pond now was made into a piazza of cold stone marble as well shading umbrellas, mimicking those found on Al-Masjid an-Nabawi on Medina.",Netral,99.97%
45,"Beautiful mosque at night. Women cannot wear pants, you will be provided with mukena/telekung.",Netral,99.75%
46,"A very historical Mosque, it was built during the Dutch colonial era and it saved many lives during the Indian Ocean Tsunami 2004. For a local experience, must join the Friday prayers here",Netral,60.00%
47,"One of beautiful mosques in Indonesia. But too sad that toilet was not clean enough and the escalator was out of order. Great place to visit and it offers its yard to hang out before and after salah. Notice that only islamic dressed person only is permitted to enter the mosque. Be sure to dress according to islamic manner",Negatif,99.92%
48,"It's a great mosque at Aceh, Baiturrahman is the grandest mosque in Southeast Asia, very beautiful and majestic, with a stylish architecture like the one in the Medina",Positif,99.21%
49,"Beautiful architecture and well preserve. Ni e view and clean. Definitely one of the best to see in the city.",Positif,99.60%
50,"A must visit place ever if you try to spend your spare time ini Aceh. Islamic taurism is one of characteristics of acehnese places. Come and enjoy your day in this beautifull mosque.",Positif,99.99%
51,"The beautiful Mosque. I came back in Nov 2022 to this Mosque after 36 years and still a beautiful Mosque",Positif,97.27%
52,"It is just a great pleasure for me to have the chance to visit this beautiful mosque. The floor was so hot, and we should go barefoot, I suggest u wear a sock and bring your sunnies along. You can cool down inside the mosque. For women, you have to wear something that is not too tight (like tight jeans).",Positif,96.75%
53,"Iconic Place in Banda Aceh. It's a really amazing experience when you visit here during Ramadhan.",Positif,94.92%
54,"Very historic Mosque, the only building that survived when tsunami strike Aceh, amazing! Very peaceful and respectful Mosque",Positif,99.98%
55,"Historic mosque, also well known for surviving the 2004 tsunami. You are not allowed to use footwear in inner yard, so perhaps you want to prepare bag to keep yours instead leaving it at the gate. Being in yard is also not allowed during prayer time since everyone is obliged to perform the prayer.",Netral,99.66%
56,"Although I am not of the Muslim faith, I was still invited to walk around the grounds with my borrowed robes from the parking lot level rental place (presumably just for foreigners like myself). Lots of friendly people wanting to get their picture taken with an authentic Western tourist, or just enjoying the peaceful environs.",Netral,93.78%
57,"The Grand Masjid of Aceh. Masjid Baiturrahman's design is very inspired by Masjid Nabawi Madinah. It has the giant Umbrella that electronically open and close. It will fulfill a bit of your Nabawi nuance. This masjid miraculously standing strong against the Big Tsunami that hit whole Aceh Province 2014. Allah protects what He wants. People can have a night stay in the basement, especially musafir. The committee has fajr khutbah programs. Coming here is a must whilst visiting Aceh",Positif,99.99%
58,"Such peaceful to be here. As a moslem, finding Aceh as one of the prestigious cities when it comes to Sharia law. Where I am from, we were taught about Qanun which has a lot to do with Sharia based law in Aceh. Masjid Baiturrahman seems to have a nice view to visit, not only to do your prayers, but also visiting the library right on the left side of the building. Also in the afternoon I luckied out finding the kids who are attending the religious session with their elderly. Such a peaceful atmosphere. MashaAllah 🤲",Positif,96.52%
59,"Historical mosque in banda aceh, aceh, indonesia... especially when it hitten by tsunamis... Great architecture, nice place to pray and also to spend times by the views sorround, nice people, i love it",Positif,99.98%
60,"Beautiful mosque, nice people, they will give you rope to borrow if your outfit its not fit with their standard (muslim/ muslimah dress) to enter the mosque, and dont forget to give contributions after borrow it ..",Positif,66.55%
61,"Majestic mosque in the heart of banda aceh. Since aceh uses the Syari'ah law that means when visiting you need to take your clothing as a consideration, try to be more modest as a sign of respect and also, its cause they have a fashion police. If you are a Muslim woman then you should consider not wear: skin tight jeans or trouser, short sleeve tops. instead you opt for head covering aka hijab",Netral,99.85%
62,"The most famous mosque in Banda Aceh. It is a landmark of religiosity of the province.",Netral,99.88%
63,"The most populous and greatest mosque in Banda Aceh. Astonishing architecture, changing colour at night. Always crowd in this Holy Place.",Netral,98.93%
64,"If there is a place that you must visit when you visit Banda Aceh, it is the Baiturrahman Grand Mosque. This is a historical site that has existed since the glorious era of the Aceh Sultanate and has survived to this day. This mosque has gone through various things, starting from the burning tragedy by the Dutch colonial in 1873 to the tsunami hit in late 2004. Baiturrahman Grand Mosque was first built in the era of the Aceh Sultanate. The roof of the mosque was made in accordance with the characteristics of mosques in Indonesia at that time, a four-tiered pyramid roof. There are two historical versions of the history of the construction of this mosque. Some sources say this mosque was founded in 1292 AD by Sultan Alauddin Johan Mahmudsyah. Meanwhile, another source said the mosque was founded by Sultan Iskandar Muda in 1612 AD In its journey, this mosque was burned down by the Dutch during an attack on Koetaradja (Banda Aceh) on April 10, 1873. The collapse of the mosque building triggered an outbreak of resistance from the Acehnese people. They struggle to defend the mosque until the blood is gone. During the battle, the Dutch lost their commander, Major General Johan Harmen Rudolf Köhler on April 14, 1873. The mosque building was rebuilt by the Dutch at the behest of General Van Der Heijden. The rebuilding of the mosque was part of an effort to ease the resistance of the Acehnese towards the Dutch occupation. The process of rebuilding Majid Raya Baiturrahman took place in 1879-1881 AD The new building architecture was created by de Bruchi who adapted the Moghul (Indian) style.",Netral,99.84%
65,"Outstanding Qirat for Jumma Today sunami day as 26 Dec 9 AM the waves hit here",Netral,99.97%
66,"Is it a beautiful and peaceful holy place",Positif,99.05%
67,"a building that the people of Aceh are proud of beautiful mosque, you can enjoy the atmosphere of religion and worship",Positif,99.98%
68,"Baiturrahman Grand mosque is largest mosque at bumi serambi mekkah,located at the center of Banda Aceh city in banks of the river. Very peaceful & spiritual place 🙏🏼",Positif,99.91%
69,"its nice for photography at night, especially after the rain when the floors is wet and all the lights reflects.",Netral,74.68%
70,"Very special place in Banda Aceh, most wanted people when visit Aceh. Can feel positive energy and peace",Positif,99.99%
71,"grand mosque Baiturrahman is one of historic places in Aceh and becoming a witness of independence movement from Acehnese heroes to fight netherland colonialism.",Netral,98.85%
72,"This is my first time coming here baiturahman mosque banda aceh this is a great moslem building in aceh after eleven years ago tsunami . You can going in this mosque with bis trans kertaradja its free",Netral,99.86%
73,"Probably, one of the tidiest and cleanest Mosque I've ever visited. From the basement to inside the mosque, the interior and exterior was mesmerizing. Really worth your time to pray or just taking picture.",Negatif,90.44%
74,"Religious tourism , perfect archithecture great sunset 9/10",Netral,84.05%
75,"The vibe and environment feels like in Masjid Nabawi (visited in early morning)",Netral,99.98%
76,"Beautiful and Peaceful Place.",Positif,99.97%
77,"Iconic Mosque in Aceh",Netral,99.90%
78,"Feel so lucky to have a chance visit this sacred place and pray here. May this place stand and livable forever.",Positif,99.99%
79,"This mosque is hundreds of years old. Great architecture, it has seven domes and the marble floor inside the mosque feels cold, making it comfortable during prayers.",Positif,98.74%
80,"As its name, grand. Beautiful mosque. A must to go , even if you are not muslim, go here. As a muslim a must go. Try praying here.",Positif,99.98%
81,"Place of worship and meet up. Remember to dress modestly and accordingly to custom when visiting.",Netral,99.97%
82,"Words can't describe it! Highly recommend Thursday night last prayer.",Netral,99.67%
83,"A good mosque to visit if you are a Muslim, but not every time the umbrella at the mosque is opened or not all parts of the mosque's plaza are exposed to the shadow of the umbrella when it is opened. This causes the ventilation of the mosque's plaza to become very hot when combined with the plaza footing material",Netral,99.84%
84,"The Great Mosque of Baiturrahman in Aceh, Indonesia is a stunning and historic religious site. The mosque, which dates back to the 17th century, is considered to be one of the most important landmarks in Aceh and is a must-see for any visitor to the region. The mosque is built in traditional Acehnese style, with intricate carvings and ornate decoration. The main prayer hall is particularly impressive, with its large dome and beautiful stained glass windows. The mosque is also home to several other buildings, including a library, a museum, and a madrasah (Islamic school). The mosque is also a popular spot for locals and tourists alike to take in the beautiful sunset over the city. The mosque is surrounded by lush gardens and is a peaceful and peaceful place to relax and soak in the history and culture of the area. Overall, the Great Mosque of Baiturrahman is an incredible religious and architectural site that is well worth a visit. The mosque is a testament to the rich history and culture of Aceh, and the intricate decoration and intricate carvings make it a truly beautiful place to visit.",Positif,99.94%
85,"For sightseeing best time to enjoy outdoor of this mosque; morning before 10 am and afternoon above 4 pm",Netral,99.76%
86,"Landmark of Aceh especially for Banda Aceh that you have to visit when you get to be here! I ever visited this Mosque about around 5 years ago and when I came back last year it was so great already! This Mosque becoming more beautiful each day 😍 And this Mosque reminds me of Masjid Nabawi in Medina because of the umbrellas",Positif,99.98%
87,"One of the Most beautiful Mosque I've ever visited",Positif,76.72%
88,"Baiturrahman Grand Mosque is the landmark of Aceh. It has thousands histories behind its phenomenon architecture. It's Acehnese pride. Unfortunately, the one who can enter inside of the mosque is only for Moslems. For Non-moslem, they're only allowed to walk and seeing around in front of the mosque. I think it's all about the sanitation of the Mosque from the one who eat pork and wine. The service is very good. They are friendly in welcoming the guests or tourists to look around. But it would be great if you have a local guide. So, you can reach me anyway 😇.",Negatif,58.15%
89,"I’m a non-Muslim traveller and I’m allow to visit this mosque . The security guard are friendly and well explained the rules of mosque. Entrance is free but they provide me a Muslim clothes to put on it as I don’t need to change. there is small room in guardbooth to put on the Muslim wear as don’t need to change also. The guard told me u are allow walk around the mosque but not allow to step on the marble floor so I can’t enter inside the mosque. Im allowed to take video or photo around mosque area. This place is crowded during prayer time but non of tourist visit. Prayers there are super friendly to request take photo with them maybe the reason because no many tourist visit this beautiful mosque.",Netral,99.91%
90,"One of the magical places I have ever been.",Netral,94.40%
91,"Masjid Raya Baiturrahman is such a good place in Banda Aceh. you must try to visit this place if you come to Aceh.",Positif,99.89%
92,"I like masque raya Baiturrahman,The place is cool, comfortable for worship, and the place for ablution is also comfortable.",Positif,72.52%
93,"It has a great architecture and nice environment. It resembles with Masjid Nabawi in Medina.",Positif,99.96%
94,"Grand Mosque at the centre of Banda Aceh city. This Mosque has survived the 2004 Indian Ocean tsunami.",Netral,63.46%
95,"The most popular place in Aceh. Note: Everybody can visit this place but you must follow the requirement this place, no worry about that: The requirement is just wearing muslim clothes.",Netral,99.98%
96,"The best mosque in Aceh",Positif,99.40%
97,"Love the place. The place does look like mini Madinah. Only 2 of the shading (the umbrella) open during normal days, and it was informed that all of it will only be open during Eid or special events.",Netral,99.96%
98,"Lesson learned during my visit to aceh. I feel so grateful when I visit this religious place. I've learned many things during this short journey. ""Stay in touch -help each other- especially with our God makes us survive during hard situation""",Positif,99.98%
99,"My favourite masjid in Aceh. The umbrella outside resembling the masjid in Madina. Have a peaceful praying with the inside of the masjid air conditioned. Parking space located underground also outside of the masjid. However during Jumat prayer it will be very crowded and getting a space and even getting out of the parking lot can take quite sometime.",Netral,91.68%
100,"Refreshingly calm, lovely. A solemn soul calmer. My kiddo fav place.",Positif,60.13%
101,"The great mosque in Aceh. Very big in size and mesmerizing in architecture. Provided with basement cark park underneath.",Netral,97.76%
102,"This new Grand Mosque in Aceh was re build after the Tsunami. It is big abd beutiful now becoming a tourist attraction. Thousand visit it during holiday and weekend. May Allah Bless the ppl who contribute fund to rebuild it.",Positif,99.97%
103,"Nice place and beautiful mosque very clean. Love it",Positif,99.98%
104,"Masjid Raya Baiturrahman is the only mosque in Indonesia with underground parking space, accessible wheelchair parking, extremely great recital of Quran from the Imam. This is the mosque for iconic history of Aceh and Islam in the region.",Positif,99.43%
105,"the most masjid need to go and visit.",Positif,99.96%
106,"Located in Aceh. Is one of the historic mosques of the Islamic sultanate in the archipelago. This mosque is also called the porch of Mecca",Netral,99.95%
107,"Not many mosques in Indonesia got this kind of architecture. This landmark is famous for the canopy.",Netral,99.92%
108,"It is quite awesome mosque. Has some big umbrella outside makes this mosque very unique",Positif,99.94%
109,"First time viaited it..awesome.. Mosque with a lot of histories..",Positif,89.23%
110,"alhamdulillah, I made it! To pray Jumuah here, alhamdulillah One of the greatest Masjid in Indonesia. This Masjid is one of main tourist destination in Banda Aceh. Try to visit during the weekend, especially Saturday, you won’t have enough room to move 😁 Allahuakbar!",Netral,97.20%
111,"Great Mosque....!!! Now it's already renovated, with big umbrellas in front of the mosque.",Negatif,59.94%
112,"Monumental Religious Landmark.. if it’s a bright day consider to bring a sun cream.",Netral,99.69%
113,"Few of the remanining structures after a great tsunami that hit Aceh in 2004.",Netral,99.75%
114,"You can see Nabawi Mosque Umbrella looklike here...",Netral,99.91%
115,"Great and beautiful mosque in the central Aceh town",Positif,98.87%
116,"Most iconic Masjid in Banda Aceh",Netral,78.80%
117,"Beautiful mosque. Really have to come back to Aceh one day.",Positif,99.70%
118,"Probably one of the most beautiful and inviting mosques Ive ever had the honour of visiting after the two holy mosques in Madinah and Makkah. The entire mosque had a family feel to it with family and friends taking advantage of the spacious courtyard and gardens to spend a cool evening. Then the beautiful Quran recitation over the loud speakers followed by the heart-melting Adhan (call to prayer). One then enters the holy sanctity to the trills and shrills of local sparrows and starlings to be met by beautifully tiled and marbled floors and throngs of worshippers silently bowing, prostrating and supplicating to their Lord the most high. Imams here are comparable to those in the two holy mosques by virtue of their heart-melting, melodious Quran recitation...",Netral,99.95%
119,"The iconic most historical mosque in Aceh, please not only your eyes but your soul",Netral,65.83%
120,"Masjid Raya Baiturrahman after renovation. Tsunami survivor. Very beautiful, has umbrella like Madinah mosque.",Negatif,68.28%
121,"Subhanallah so beautiful mosque 😍",Positif,99.97%
122,"The largest mosque in Banda Aceh, with its rich history and beautiful architecture",Netral,99.06%
123,"The mosque is beautiful, there was a wedding ceremony and a study when I arrived, only the toilet was not nice the smell was unpleasant. My family and I was here 29Jun2025(From🇲🇾🇲🇾)",Netral,82.64%
124,"Very famous mosque in Banda Aceh City, become bigger and nicer after a big renovations project pasca Tsunami disaster",Positif,98.24%
125,"Very beautiful mosque. Must visit sightseeing at Aceh",Positif,99.34%
126,"Baiturrahman Grand Masjid in Aceh is a masterpiece of architecture. Its grand design, iconic black dome, and towering pillars create a peaceful and awe-inspiring ambiance, making it a must-visit for anyone seeking beauty and tranquility.",Positif,99.98%
127,"Two times i went and j couldn't go in because they were praying. Check before the timetables if you want to visit it. Outside, beautiful",Positif,99.95%
128,"Great mosque with great history. Icon of Banda Aceh",Netral,99.72%
129,"Amazing mosque Allahuakbar, feel like at Nabawi Mosque",Positif,99.99%
130,"The biggest mosque's at Banda Aceh. If you want to visit this place you must use muslimah wear. Long skirt or Gamis.",Netral,99.97%
131,"I love this Masjid so much, quite and clean",Positif,99.98%
132,"Subhanallah. Got huge umbrella like Madinah but cannot open often due to strong wind from the sea.",Negatif,99.91%
133,"""The Baiturrahman Grand Mosque is the largest mosque in Banda Aceh. It survived the 2004 Southeast Asian tsunami (presumably due to the strength of its construction). It is a large and well-maintained mosque, with spectacular engravings. Entry is free, but a donation is encouraged. Proper attire is required for both men and women, and if you are not appropriately dressed, they provide clothing for free to cover up.""",Netral,99.62%
134,"Mosque with history",Netral,99.87%
135,"The best.",Positif,99.94%
136,"Best mosque in the world Masjid Raya Bairrahman banda Aceh Provinsi Aceh",Netral,73.16%
137,"I'm not a muslim, but you can visit as a foreigner. They will have covering clothes for you if you didn't bring any. Met alot of nice people here and the mosque is a sight to behold. Definitely recommend if you are visiting Banda Aceh!",Positif,99.84%
138,"Few months ago with my guests from malay. They've said this mosque its so beautiful",Positif,99.82%
139,"Interesting place to take prayer, love the vibe",Positif,99.94%
140,"I really love to be there. You can find peace and will be amazed of everything there :')",Positif,99.99%
141,"Tell me why I love this place? Wth, no need to telling because it's my best Mosque in banda aceh ever.",Positif,58.49%
142,"The architecture is beautiful, the entry is for muslims limited only. What is a pity.",Negatif,99.11%
143,"Even though the weather is hot, it feels cool",Positif,94.37%
144,"Subbahanallah, extraordinary mosque, happy and relax to be there, i want to go there again. Serambi mekah.",Positif,99.99%
145,"A very big mosque.",Positif,52.33%
146,"Great and famous Mosques in Banda Aceh. Clean and spacious. Have carpark in basement.",Positif,98.46%
147,"A very beautiful place but it could be very windy and humid",Netral,91.79%
148,"Beautiful building and parking is available at basement",Netral,92.10%
149,"The best and classic Mosque in Aceh.",Netral,70.60%
150,"A really cool place! masaAllah💓",Positif,99.91%
151,"Must visit landmark in Banda Aceh. Grandeur and beautiful. I love the ambiance being here. Open for everyone. Lot of people take queue to take picture in front of the mosque. During non praying time, take inside the building and you'll mesmerized by the detail. Note: This place is worship house for Muslim, better put proper cloth.",Positif,99.98%
152,"My most favorite place in banda aceh, the nuance, the people and the memory",Netral,98.90%
153,"One of must visit landmark in Banda Aceh. People keep telling about how this holy place saved people from Tsunami.",Netral,98.15%
154,"Great place to visit.A must when visiting Banda Aceh",Positif,99.98%
155,"Alhamdulillah.. when you are in Aceh, you have to go here.. trust me",Positif,99.99%
156,"One of beautiful mosque I have ever seen...nice Banda 😍",Positif,99.97%
157,"It such a great mosque. As it has history, too. Bis mosque with great architecture. Everything is clean, too. Also nice spot to take a picture. Not forget, calm place to pray with islamic atmosphere. Such a very crowded mosque as this one of the biggest in Aceh. Very nice to come here often.",Positif,99.88%
