No,Teks,Sentimen,Confidence
21,"This mosque is the bigest mosque at central of java. This mosque have very good arsitecture. This place is one of icon from central of java. The parking area is big. If you come here you will meet the big umbrella that will open on friday and other important day in islam. And when you come in the mosque you will greeted with big quran. It s the bigest quran i ever seen. If you are moslem i realy recomended you to come here",Positif,82.25%
22,"The magnificient and beautiful Mosque. The architecture is unique, you can feel the Sacred Vibe. So let's preserve and appreciate it",Positif,99.98%
23,"Captivated by the beauty of such religious place like Masjid Agung, the location is quite strategic, such a beautiful mosque with lots of Islamic art inside, the mosque area is huge, as well as the parking lot, you can see tons of local tourist who spend time there to pray and sometimes you will see some foreigners too.",Positif,79.58%
24,"Great Mosque of Central Java is accessible. It has complete facilities such as foodcourt, souvernir court, hotel, meeting hall, library, a huge of parking land and other. The one interesting is a 95m tower called as Al Husna. Having 19th floor to see the city landscape from the high. After from 19th floor, the visitor can enjoy the museum at 3rd and 2nd floor.",Netral,99.39%
25,"The Great Mosque of Semarang is located in the center of Semarang, Central Java Province. It was built in 2001 and completed in 2006 by adapting the Nabawi mosque architect. At the front of the mosque, there are six giant hydraulic umbrellas that can open and close automatically. The capacity of the Great Mosque can accommodate up to 15,000 worshipers.",Netral,99.90%
26,"Its a big,beautiful n so quite mosque i met in Semarang..the protocol is best..i never met mosques protocol like that..thx..",Positif,99.12%
27,"It was kinda hot when i visited this place but anyways,, words can NOT express how i am very very very very much IMPRESSED by this place!! This place is soooooo majestic,,, it made me wanna cry TwT (I waz on my study tour when i visited so i didn't really had the chance to explore around lol :'D )",Negatif,97.57%
28,"One of Semarang’s top highlights. A large mosque with nearby convention center and museum. The museum, located in the communications tower, was closed when I visited. (November 2018)",Netral,99.98%
29,"Huge and great architecture mosqur in middle of Java. Best time to come here ia in the evening. Enjoy beautiful sunset while waiting for shalat maghrib.",Positif,73.87%
30,"the details of the buildings are very thick with Javanese characteristics, such as the Aceh mosque and those in Mecca, came here while the umbrella was still closed, but its still beautiful",Positif,99.62%
31,"Big, beautiful and nice mosque, easy access with plenty parking lot (including shaded, underground)",Positif,69.33%
32,"an authentic mosque in Semarang. has stunning both interior and exterior design. visitting the watch tower also interesting",Netral,95.90%
33,"Really nice destination with great weather and view. Don't forget to put this mosque on your list when you visit Semarang.",Netral,99.83%
34,"Modern outside, oldies inside, but still marvelous at sight. Awesome place to enjoy sunset. If you want to see rotating restaurant from the tower, dont come at 5PM, but they will open again at 6.30 PM. Mukena are also clean.",Netral,82.09%
35,"Lovely place to pray. Large paking area and shopping centre. Unique architecture with a big ""bedug"" and mushaf Alqur'an inside the building.",Positif,99.26%
36,"لَا تَقُمْ فِيهِ أَبَدًا ۚ لَمَسْجِدٌ أُسِّسَ عَلَى التَّقْوَىٰ مِنْ أَوَّلِ يَوْمٍ أَحَقُّ أَنْ تَقُومَ فِيهِ ۚ فِيهِ رِجَالٌ يُحِبُّونَ أَنْ يَتَطَهَّرُوا ۚ وَاللَّهُ يُحِبُّ الْمُطَّهِّرِينَ Do not stand [for prayer] within it - ever. A mosque founded on righteousness from the first day is more worthy for you to stand in. Within it are men who love to purify themselves; and Allah loves those who purify themselves. (Q.S. At-Taubah:108)",Negatif,99.77%
37,"Central Java mosque is amazing, comfortable, and can be used as a vehicle for religious recreation. in the grand mosque of Central Java there are 6 giant umbrellas that should be in Medina so that they can give their own sensations as if they were in Medina",Positif,99.73%
38,"Breathtakingly huge and beautiful. An A-list destination when you go to Semarang. A different architecture makes this mosque stand out from others, becomes a memorable place.",Positif,99.75%
39,"Feel so peaceful i this mosque. The mosque complex covers 10 hectares (25 acres). There are three central buildings arranged in the shape of a U, with the domed mosque at the centre; all buildings have pitched, tiled roofs, while the central mosque has four minarets. The central roof resembles the roof of a ""joglo"", the traditional Javanese house, and symbolises the rising steps toward heaven or to gain God's blessing. The long buildings forming the arms of the U house a library and auditorium respectively;[2] the auditorium can hold up to 2,000 people (wikipedia)",Netral,49.96%
40,"Nice place, nice staff, clean and neat. Even some infrastructure are broken or unclean. But it was so great to see Semarang city from the mosque's tower.",Positif,99.98%
41,"This mosque have umbrella shade similar to Nabawi in madinah. The mosque quite old, but many people come to this mosque to enjoy the surrounding. Better come in the afternoon",Netral,50.42%
42,"Masjid Agung Jawa Tengah is a provincial mosque in Central Java which is located in Semarang. The mosque was built in 2001 and completed in 2006. The mosque has a distinctive architectural style. There are five existing towers, one of them named asmaul husna tower has 99 meters of high. From the top floor of the tower we can see the view of Semarang and the coast. This mosque can accommodate tens of thousands of worshipers and on its porch there are six giant hydraulic umbrellas opened at certain times. Inside the mosque there is also a Giant Qur'an. This mosque is very suitable for religious tourism. Large parking lots and a clean environment make this mosque always full with people in various regions.",Netral,99.97%
43,"Big mosque.. you could see mosque and alot of food and oleh2 store behind it, place learn umroh. There is mini kabah there. Also you could see landscape near there by use lift at tower",Netral,98.77%
44,"Masjid agung jawa tengah, central java grand mosque is the biggest mosque in central java.. the pelataran so huge and it has giant umbrela like the ones in madina, it occasionally used for weeding, prewed session, study, praying, sightseeing and etc. One of the unique things here is the old giant quran inside the mosque, but sorry i forget where it came from. But it sure is epic. I'd love to come here again, its one of the must go place in semarang city, dont forget!!!",Positif,99.16%
45,"Central Java Grand Mosque is one of the many destinations visited in the Semarang area. This mosque is located in the area of Semarang, Central Java province. This mosque has its own uniqueness, which is that there are 4 mosque towers plus 1 separate tower, while in front of the grand mosque's porch there are 6 giant umbrellas. The height of this electric umbrella is around 20 meters and is opened at every Friday prayer, Eid al-Fitr and Eid al-Adha. But if you want to see the expansion, this umbrella can contact the mosque administrator. This mosque, in addition to praying, can also be a family vacation that wants to rest and enjoy the beauty of the mosque.",Netral,99.77%
46,"A beautiful mosque with a giant umbrella concept like the Nabawi mosque. there are towers that can help to see the beauty of semarang from a height",Positif,99.94%
47,"Really great mosque in Semarang. The view from outside the mosque is really awesome.",Positif,99.70%
48,"• Really large and beautiful mosque I've visited, Masya Allah. • It has an amazing view at the evening from the tower that is known as Asmaul Husna. • The visitors have to pay when they wanna go up the tower use lift. • It has a very large parking lot.",Positif,99.86%
49,"The masjid is beautiful, spacious and clean. There's also a hotel in its neighbourhood. You can also get city view by going to its tower nearby.",Positif,99.76%
50,"Once, after I been there, I was soo relaxed. I did not wanted to return from this Grand Mosque. AWESOME",Positif,66.10%
51,"a very beautiful and magnificent mosque in the middle of the city. a comfortable place to worship and spend a moment",Positif,99.97%
52,"I love the design and architecture of the mosque.. but the museum was like get less attention from visitor.. so it was quite.. and dark.. and neglected.",Negatif,99.96%
53,"You need to park your vehicle first, then you can go around. It has unique architecture. There is a pond with fountains with words on each, showing five pillars of Islam. Then there are pillars and wide yard. I went there early in the morning and saw some people went jogging, some had yogas, and some cleaned the mosque. Unfortunately i didnt go inside to pray so i cant describe how the inside is.",Netral,99.74%
54,"such an amazing mosque in the middle of java.",Positif,99.82%
55,"One of beautiful Mosques in Indonesia, which has huge Umbrella like in Nabawi Mosque in Madinah",Positif,83.96%
56,"Great Mosque with Madinah architecture. It will makes you feel visits mecca for Hajj. The wide umbrella of the mosque will be",Positif,99.99%
57,"The most beautiful and the biggest Mosque in Central Java, state in Semarang city. The architecture is adoption with “Masjidil Haram” in Saudi Arabia mixed with Javanese style culture. This place is open for all moslem to prayer’s and non moslem only permit vacation in the outside of the building. Happy prayer and vacation with your lovely family 😇🤲🏻",Netral,95.40%
58,"A good place to visit to seek the history of Islam's history in East Java. The museum is just located in the tower of this mosque.",Netral,99.97%
59,"Another choice of semarang tourist attractions is the Great Mosque of Semarang or also known as the Great Mosque of Central Java. Semarang Great Mosque is on Jl. Gajah Raya, Kel. Sambirejo, Kec. Gayamsari, Semarang. This mosque has become one of the modern mosque icons in Central Java because it has an umbrella similar to the one in the Nabawi Mosque, Medina. If we are one of the religious tourism enthusiasts, then the Great Mosque of Semarang can be a good religious tourism destination in Central Java. Semarang Great Mosque is one of the historic mosques that has a special attraction for tourists, especially the Semarang Grand Mosque Umbrella.",Netral,99.94%
60,"Nice mosque design, spacious parking, spire to see the mosque and around Semarang city from above, museum on the 3rd and 2nd floors in the tower",Positif,99.95%
61,"The grand mosque in semarang, has very good architecture design. Cozy place for praying. But its not really clean and hard to find place for shoes. I hope it can be fixed.",Negatif,87.79%
62,"The biggest mosque in town, perhaps in Central Java. It's just less than 30 minutes driving from the downtown to the east.",Netral,99.96%
63,"Central Java Great Mosque is the largest mosque in Semarang, the mosque is very wide, large, clean and beautiful. Besides being able to travel around Semarang you can also visit the Great Mosque of Central Java to pray and in front of the grand mosque is decorated with a waterfall that has been added to the mosque.",Netral,97.50%
64,"Very huge mosque complex, with ample space for parking. The architecture is very unique, a blend architecture between traditional Javanese and Madinah.",Positif,97.45%
65,"One of the greatest Mosque Architecture in Central Java. It still on progress to be better and greater. It always feels nice and good to be at Mosque for Moslems, and be here is surely a pleasure.",Positif,99.99%
66,"Nice",Positif,99.92%
67,"The biggest mosque in central Java. Masjid Agung Jawa Tengah became an icon for Islamic preacing in central Java. Here, u will see how's great this mosque. Here, we have some facilities for travelers or tourists around the world. Some facilities like very spacious parking area, toilete, take ablution area, main place for pray. At the last here u will find a museum at the tower. The ticket only arround Rp. 10.000. So let's go here 👍",Positif,99.98%
68,"Nice place. There are large al -quran, huge. And you can see the landscape araund the mosque from the tower.",Positif,93.00%
69,"Largest masjid in semarang. Unfortunately the umbrella was in closed position when we got there and there were not any wind and mist blower like in the Al-Haramain. So.. it was very hot in the noon.",Negatif,86.77%
70,"Masjid is very big and beautiful with giant umbrellas similar with Masjid Nabawi.",Netral,74.93%
71,"Great place to take photograph especially at dawn. You can also try their tower to take aerial photos of semarang, only Idr 10rb/pax.",Positif,99.93%
72,"Masjid Agung Semarang is a mosque which is very large with beautiful buildings. there is also a tower. where the tower has a very tall building while we're in the tower the top floor, we can see a very beautiful view.",Positif,99.86%
73,"First time I touchdown here. Very awesome mosque.",Netral,77.22%
74,"As Mesjid Agung it is grande in size, but the built quality is awful, and it should have been better in design... and it burnt my feet when I had to walk on the front platform without shoes or sandal on dzuhur time because it forbiden.",Negatif,56.77%
75,"A good place to tell your kids about islamic history. There are miniatur of ka'bah, safa cave and marwah cave. Better to come at morning or afternoon, when the weather is not really hot.",Netral,99.76%
76,"A great Masjid with a bunch of beautiful concepts, if you come to Semarang don't miss it",Positif,99.99%
77,"The Great mosque of central java. Large parking area, nice building. Instagramable. And this mosque feels so peaceful. Barakallah",Positif,99.99%
78,"SubhanAllah, good for pray, event, n tourism religy.. Love it",Positif,99.99%
79,"Good place for praying, the architecture, the facility is pretty good, but if you wanna go here and hate about the traffic, just come from the northside, ( Simpang lima - MT- Haryono -Citarum- Arteri Soekarno Hatta- Jl Gajah)",Negatif,89.89%
80,"beautiful buildings, comfortable atmosphere for worship You can see the view of Semarang city through the tower",Positif,99.97%
81,"luxury mosque, clean and the building is unique and amazing 😍😍👍🏻👍🏻👍🏻",Positif,99.98%
82,"Central Java Grand Mosque. as the name implies, this mosque is the largest mosque in Central Java. large umbrellas, the biggest Al-Qur'an, and towers are the main attraction. very good and wonderful misque.",Positif,91.43%
83,"This place could be better. Point for improvement: cleanliness. Aside from that, it is a marvelous mosque. Very spacious and beautiful.",Positif,99.97%
84,"The architecture is so complex and pretentious. For all moslem friends, if you come to Semarang, don't forget to come and pray here.",Netral,61.51%
85,"Looklike Nabawi Mosque at Madinah, beautiful and so large..",Netral,78.68%
86,"Very big mosque in central java, with unique and antiq architecture, always want to come here",Positif,99.93%
87,"this is the biggest mosque in Central Java. here we will be able to worship, walk, exercise, and others. the place is spacious, clean, comfortable and cheap",Positif,99.90%
88,"Visit the place for prayer. Tranquil and spacious space.",Positif,94.16%
89,"Beautiful and amazing place to pray and so comfortable, you cand find beautiful spot to take a picture too",Positif,99.97%
90,"The mosque is very spacious and magnificent, the view at night when viewed from the tower is also very beautiful.",Positif,99.91%
91,"This is the first time i went there and the experience was majestic although the heat can be really hot it is still one of biggest mosque i have ever visited",Netral,98.44%
92,"MasyaAllah this mosque with the all attributes 💙 hope will be there again.",Negatif,99.98%
93,"One of the big mosques in Semarang with the characteristics of a large umbrella in the mosque's courtyard and its high tower",Netral,99.94%
94,"They have a big and very clean mosque. And ther place have menara. Nice place",Positif,99.98%
95,"Special place to pray at Semarang Masjid Agung so wonderfull, i think this arcitect have sense of yunani design..",Netral,56.17%
96,"Very crowded on weekends and there are trashes everywhere. If only people interest in visiting this place is as great as keeping it clean, it would be good.",Positif,96.25%
97,"This is the most awesome mosque in Central Java. Don't forget to come there. The buildings are same with mosque in Mekkah",Netral,99.58%
98,"The largest mosque in Semarang, nice and comfortable place. Unfortunately many shaf empty when shalah time.",Netral,99.92%
99,"The one and only one Mosque named ""Central Java"" with ""Great"" off course.",Positif,99.46%
100,"Best place to pray and also take photographs. The giant umbrellas opened at specific time",Netral,86.61%
101,"The Masjid is huge. I come at night when it rains hard. But the view still amazing.",Positif,99.70%
102,"One of the great place in Semarang. You can pray and take a tour inside the mosque as well as their tower museum. The best time to visit is in the morning because the temperature not to hot.",Positif,99.53%
103,"Plus : Big mosque, car park available.Clean indoor area Minus : Floor tile at outdoor area is very hot due to sunlight at daylight. Wudhu place not clean, somehow looks not maintained very well.",Negatif,99.94%
104,"Nice masjid for pray and take a rest",Positif,99.97%
105,"Big and beautiful mosque and great architect. Proud that we have this one !",Positif,99.98%
106,"Awesome mosque in Central Java, located in semarang...",Netral,99.93%
107,"Quite big mosque, but need improvement in parking system especially basement area",Negatif,66.63%
108,"Such great place to refresh your mind, either you went for pray or just sight seeing",Positif,99.94%
109,"Beautiful mosque... Nice place to take rest for a while",Positif,99.94%
110,"It spend your time to do jogging also in this beautiful Mosque.",Netral,99.64%
111,"Beautiful mosque which has a tower to view Semarang city",Positif,76.23%
112,"I think this is the biggest mosque in Central Java. Absolutely it has huge area. But, you have to note this one, it can be so hot when you come at noon. There is accessible entrance for disable, so you don't need to worry about that. If you're asking about the parking area, there are two different area. Outside and basement. Hope this one can help you! Overall it's very nice",Netral,99.55%
113,"The mosque this close to the university semarang. The mosque very broad, beautiful, clean, there is an umbrella very large. Every Friday umbrellas will be opened. if during the glowing of the mosque is very hot because the umbrella is not every day opened. a lot of teenagers who came just to take pictures. around the mosque are many sellers hobbies, there are doll clothes, etc.",Netral,99.88%
114,"Great building structure & facilities: hotel, shops, etc. It's just that the system for praying isn't managed well. People can pray anywhere they want, although there's still much spaces in the main hall, so the shaf isn't well organized. Also, i think they need to hire more employees for cleaning service since there're many rubbish in certain spots after the big event held there.",Positif,99.52%
115,"Beautifull mosque and so biigggg..",Netral,97.18%
116,"This is an iconic mosque in central java. Apart from being a place of worship, this mosque is also a tourist destination. It has a good architectural style. There is a museum in the mosque area. The mosque has a large space for praying. In addition to spacious, there is also a tower that can be visited and telescopes to see Semarang from there. Sadly, only one telescope worked properly. Although this mosque has a large area and facilities are quite complete, this mosque is in need of care and some maintenances, especially for public restroom, some sanitations and cleanliness of the mosque environment.",Positif,84.41%
117,"From the outside the architecture of the mosque looks very majestic and elegant. Makes us admire the structures and ornaments. Entering into us is increasingly amazed to see an amazing interior. The combination of material used and the colors makes us feel comfortable and at ease in the mosque.",Positif,96.49%
118,"Always Fell so blessed, this mosque has pure central Java architecture on it, great holy building.",Positif,99.99%
119,"A beautiful mosque. Represents the traditional Javanese culture (rumah limas) with modern architecture. The floors are made from granite, make it cool even at the noon. Have a large hydraulic umbrella to prevent the pilgrims from the burning sun. Public facilities here are complete and well maintained. Also available a watch tower which visitors can sight seeing from above. The mosque complex is located quite far from the center of Semarang city, but a broad road access is available.",Netral,99.23%
120,"The greatest Mosque at Central Java, nice artchitecture, a lot of parking area, great view from the top of the tower",Positif,97.01%
121,"Good place.. But outside look like not maintain",Negatif,99.58%
122,"The mosque literally great and big. The architecture totally awesome, especially the giant umbrella which is adopting Nabawi Mosque. This mosque also have a beautiful tower. There, we can see the panorama of semarang city. So comfortable ~ Hope someday can go there again. InsyaAllah.",Positif,99.98%
123,"Great place to stay especially for praying.. there is a large parking area and foods tall around it. So whenever you want to eat or just have a drink,it's here around the mosque. And in the morning, many people do exercise or get jogging around the mosque. You will not regret to be here. C'mon.. ! Just come here.Ok?",Positif,95.29%
124,"Very impressive structure, the tower gives a great view of semarang. There is a museum inside the tower displaying history of the Javanese people. We didn't go into the mosque as you need to remove your shoes, the floor was hot so no one really fancied it at the time",Netral,89.39%
125,"We went there in April 2017. The Masjid was very spacious, grandeur with ample parking space. There were some construction works going on so we couldn't enter the main area. The cleanliness can be improved.",Netral,99.79%
126,"Masjid Agung Semarang is a large mosque in the city of semarang. Due to the spacious place then I was quite the confusion at that time. The parking lot is very spacious. Masjid Agung Semarang has a unique architecture blend of Java, Arabic, and Roman. There are umbrellas on the front page of the mosque that can be opened if daylight is if there is a congregation of Friday prayers.",Netral,96.24%
127,"Nice mosque and has an umbrella like in Madinah",Positif,99.94%
128,"The Largest mosque in Semarang, maybe also in central java. However access to the location is not so easy, from the main road to the mosque is always crowded during office hours. During the sunny walking around can be very hot, also if you pray at the top floor it’s doesn’t have air conditioning in the main praying room, so I suggest to pray in the second or third floor.",Netral,94.15%
129,"Very spacious place for mosque with large parking area, commonly also known / used for wedding place. Having food court and souvenirs shop. There is no entry fee ticket (but there is parking fee), the common issue is the traffic of the road to access this place.",Netral,99.95%
130,"The mosque is indeed beautiful from the front yard. However the toilet area is very stuffy, almost np oxygen. My first experience was feeling congested with the heat and smell. I talked to the cleaner about it and felt pity coz she has to deal with it everyday. I went to the second floor when it's the woman section for prayer, there was no mukenah to use. It's maybe that I don't know where they keep it but it's practically cannot be seen. The air circulation was not excellent, it was humid. I hope the authorities can do something about it. Mosques should allow oneself to experience calm and peaceful, not hurry to leave it. I hope next time coming back here, it will be better",Negatif,92.23%
131,"This mosque is located not far from the center of Semarang city. Including one of the beautiful mosques in Indonesia, this mosque combines architecture from various cultures without forgetting the identity of Islam. The roof of the mosque which shows a Javanese identity, the pillars in the courtyard that are identical with Greek culture and do not forget in the courtyard of this mosque there is also a giant umbrella like the Nabawi mosque. In addition, there are also 99-meter-high towers that are commonly used for observing the new moon and can also be used for visitors to see the city of Semarang from a height. The mosque has a large parking lot that can accommodate many Jama'ah vehicles.",Positif,79.33%
132,"The grand mosque in Semarang. Arrived here in subuh, and I can say, I regret nothing. This mosque is huge, and the architecture is quite nice tho. Highly recommended to do pray subuh in here. And don't forget to witness sunrise , because its quite nice. Sadly, there is a problem in cleanliness. The toilets weren't that clean, and its kinda disgusting because I found a pentilener which is just ugh. Therefore, I think it will be better if there is a cleaning service stand by in the toilet. Another thing to be fixed is a direction. I think it will be nice if there is a direction in order to guide us to the woman toilet, because I hardly find it and got lost for a while. Aside from that fact, I highly recommended this place to you to do your pray. Don't forget to come to this place when you visit Semarang. Happy holiday! :)",Positif,99.94%
133,"The Mosque is huge and nice. They have a nice and museum in the Mosque area.",Positif,97.87%
134,"Local tourist religious destination. Quite friendly for difable and senior citizens, there are entrance for wheelchair. Visitors may access observation tower located nearby the entrance gate, great spot to see Semarang from a higher ground.",Positif,99.88%
135,"Loooove the architecture and the similarity with Masjid Nabawi, Madina, with its big umbrellas around.",Netral,98.53%
136,"A unique and beautiful Mosque you should visit in Semarang.",Netral,99.92%
137,"Iconic place in Semarang. It attracts a lot of people to come, both domestic and international tourist. There are four gigantic replica of the Nabawi Mosque tower. Two convention halls are also available here, occasionally booked for weddings as well as graduation. Visitor could also go up to the top of the other tower, after pay a ticket cost around 10k I guess. Although this is a mosque, anyone could enter any corners of this mosque, and must be in decent moslem clothes.",Positif,93.48%
138,"The grand mosque of central java which is located in the city of Semarang looks very magnificent and I have been with a beautiful design. I was amazed when I first saw this grand mosque directly. The mosque was really spacious, for worshiping fan tours. with umbrellas like madinah When we step on the hot sun, we will find heat, and the funny thing is when I run jogging in search of a shady place. And I have a picnic, I see that there is a large Quran in it.",Positif,99.84%
139,"Modern architecture mosque, big and beautiful",Netral,81.80%
140,"This Central Java Grand Mosque, besides being prepared as a place of worship, was also prepared as a religious attraction. To support this goal, the Great Mosque is equipped with guesthouses with a capacity of 23 rooms of various classes, so that pilgrims who want to spend the night can take advantage of the facilities.",Positif,91.69%
141,"Very wonderful mosque 🕌, nice to pray there and also have a satisfied view",Positif,99.88%
142,"Amazing architecture and scenic, with Asmaul Husna tower where you can get an amazing 360° view from 99 meters high. However wheelchair access is quite limited, wudhu facility is two storeys below, and the temperature inside is very hot.",Positif,97.01%
143,"As a Muslim, the mosque has always been a separate part that cannot be explained in words, because this is the relationship between humans and Allah subhanahu wa ta'ala, the mosque will always be a place that will always be shady.",Netral,99.60%
144,"Have A Large Space from the front yard and field around The Mosque itself. Have a Good Design, Interior and Eksterior both are amazing. When so come to this place beside to fulfill your responsbility to our religion. This Mosque Area have a photoable and make people feel they like going to other country. Really Love this place. Recommended to people who have trip to Central Java",Positif,99.98%
145,"Combination between Medina & Demak Mosque....this place is great & peaceful, this is a pride of Central Java",Positif,99.87%
146,"The Grand Mosque isnt only for praying purpose. It offers various activities and amenities you could enjoy. Be it taking photos, buying souvenirs, eating, hold meeting/wedding at convention hall, enjoy semarang city view from the tower, jog your way circling around mosque, or just do prayer. The mosque itself also offers fantastic indian-indonesian architecture to amaze you.",Positif,92.41%
147,"unfortunately the toilet is smelling and there are no fresh air in the praying room",Negatif,99.93%
148,"i came there on Jum'at. there was big umbrellas that supposed to be open but how unfortunately when we came there it didnt open. :( what i like for this mosque is the architecture, like the marmer floor and the traditional interior on the mosque. what i dont like is the toilet and place for wudhu as we have to walk down stairs to stairs to reach there. it would be uncomfortable for some people. but, still a beautiful view and sceneries in front of the mosque.",Netral,99.45%
149,"Great place for muslim to pray. Has a very wide pray area and a very wide yard. It's interior design is beautiful. The number of water sink for ""wudlu"" and the number of toilet are enough. Has a wide parking area too.",Positif,99.99%
150,"One of my favorite place in Semarang. This building is very large and beautiful. I have been there several times. But i'm not bored. This place make me want to back again and again. And for me this mosque is a Nabawi Mosque in Central Java.",Positif,99.97%
